Shop_ID,Shop_Type,Shop_Location,Shop_Size_sqft,Years_in_Operation,Average_Daily_Customers,Average_Spending_per_Customer,Competition_Count,Rent_Cost_per_Month,Monthly_Inventory_Cost,Other_Expenses,Festival_Season,Exam_Season,Month,Monthly_Earnings
1,Cafe,BH-1 Complex,154,8,111,88,5,11191,26964,7092,0,1,Jun,243040
2,Clothing,BH-7 Complex,240,6,112,61,5,12949,17433,9311,0,0,Nov,148128
3,Stationery,BH-5 Complex,134,4,101,87,1,6189,34118,7005,0,1,May,213610
4,Mobile Shop,Law Gate,88,5,132,98,2,16627,23792,6363,0,0,Jul,325144
5,Clothing,Law Gate,183,4,103,67,2,14226,29541,7152,0,0,Apr,157030
6,Cafe,BH-5 Complex,93,8,113,88,4,12873,20675,4161,0,0,Feb,248320
7,Salon,UniMall,236,1,112,83,1,10859,21331,4379,1,1,Dec,219584
8,Stationery,BH-1 Complex,112,5,67,83,2,11258,37002,10736,0,0,Jul,116830
9,Mobile Shop,BH-7 Complex,178,8,132,67,3,9104,38599,8598,0,0,Mar,206476
10,Stationery,UniMall,94,3,60,64,1,6502,21910,8493,0,0,May,61360
11,Clothing,BH-7 Complex,239,7,82,98,3,7678,34626,8636,0,1,Oct,175008
12,Clothing,BH-1 Complex,207,7,104,116,4,8693,28931,7627,0,1,Jan,287792
13,Mobile Shop,BH-1 Complex,216,5,86,116,1,11864,24474,11526,0,0,Nov,229328
14,Food Stall,Law Gate,131,7,91,91,2,9763,36616,5853,1,0,Aug,181868
15,Salon,UniMall,208,3,140,118,2,10737,29555,9685,0,0,Jun,412560
16,Food Stall,BH-7 Complex,195,2,91,114,3,6202,26447,8218,1,1,Sep,261220
17,Stationery,BH-5 Complex,226,3,118,65,3,15986,32043,6811,0,0,Sep,164760
18,Stationery,BH-5 Complex,230,3,92,99,4,8385,26111,8736,0,1,Apr,223240
19,Salon,BH-7 Complex,239,7,119,108,1,11423,29589,7723,0,1,Mar,322708
20,Stationery,UniMall,243,6,79,83,4,17383,27183,8723,0,0,Sep,140153
21,Mobile Shop,BH-1 Complex,248,4,84,88,1,10973,35817,7777,0,0,Apr,164368
22,Clothing,BH-1 Complex,194,6,67,66,5,10496,19735,7104,0,1,Nov,82660
23,Salon,BH-5 Complex,140,3,80,89,4,13022,24151,9600,0,1,Jan,149360
24,Mobile Shop,BH-1 Complex,203,9,103,87,5,16716,32453,7444,1,0,May,209869
25,Food Stall,BH-1 Complex,207,2,119,92,1,16492,32364,6975,0,1,Mar,278440
26,Cafe,BH-1 Complex,209,1,105,83,1,13455,19014,6901,0,1,Jul,202735
27,Salon,BH-5 Complex,214,9,101,114,4,11986,33225,9016,1,1,Dec,283906
28,Mobile Shop,BH-1 Complex,232,6,146,74,2,11919,25966,5982,1,0,Oct,263316
29,Salon,BH-5 Complex,187,5,129,74,4,8491,30328,10407,1,0,Mar,226834
30,Mobile Shop,BH-1 Complex,224,8,114,99,3,10465,32019,9225,0,0,May,266008
31,Clothing,BH-7 Complex,208,1,149,112,2,8838,16150,11560,0,0,Sep,433952
32,Mobile Shop,BH-7 Complex,155,3,60,75,5,10070,24662,4580,0,0,Dec,76000
33,Salon,BH-5 Complex,223,5,128,106,4,8141,28245,7059,0,0,Jul,329904
34,Stationery,Law Gate,175,1,69,113,5,8849,22390,10905,0,1,Jul,168316
35,Cafe,BH-1 Complex,203,1,61,108,1,6851,33071,5931,1,1,Dec,147640
36,Salon,BH-7 Complex,91,2,126,60,5,9913,32450,11723,0,1,Jan,161680
37,Stationery,UniMall,214,4,149,67,2,15817,26261,4417,0,1,Aug,229524
38,Food Stall,BH-1 Complex,178,4,95,84,2,13164,26657,9988,0,0,Jul,173440
39,Food Stall,BH-1 Complex,184,1,121,91,1,9440,35150,9644,0,1,Jun,258308
40,Food Stall,BH-5 Complex,207,4,72,118,3,6395,22400,8171,0,0,May,204880
41,Food Stall,BH-7 Complex,121,7,71,84,2,11588,22651,7636,0,1,Nov,128920
42,Cafe,BH-5 Complex,224,6,134,77,5,12731,30368,11241,0,0,Nov,259540
43,Salon,UniMall,165,4,125,64,1,17428,36925,6386,1,1,Apr,174000
44,Mobile Shop,BH-1 Complex,169,3,95,65,3,7810,21588,6923,0,0,Oct,135250
45,Food Stall,BH-1 Complex,171,9,79,87,4,15086,24576,5958,0,1,Jun,142444
46,Salon,BH-7 Complex,243,3,65,117,3,12316,16852,8910,1,0,Sep,162940
47,Mobile Shop,BH-1 Complex,223,7,108,73,1,9486,34968,5396,1,1,Aug,186520
48,Cafe,Law Gate,139,2,135,83,4,15337,28659,10819,0,1,Nov,263740
49,Clothing,BH-7 Complex,220,3,122,76,5,12132,39275,6508,1,0,May,209616
50,Cafe,BH-1 Complex,188,5,106,84,1,6009,34255,4797,1,0,Jan,208216
51,Stationery,UniMall,240,2,70,80,1,10158,35309,10970,0,0,Jul,112400
52,Stationery,BH-7 Complex,102,5,65,87,5,16948,24860,9989,1,1,Jan,108340
53,Salon,BH-7 Complex,83,1,144,73,1,11997,17048,8146,1,0,Aug,244336
54,Stationery,Law Gate,91,1,98,85,4,14865,25357,4770,0,1,Sep,191570
55,Salon,BH-7 Complex,221,2,76,107,3,9374,30254,7278,0,0,Dec,193960
56,Stationery,BH-1 Complex,131,9,97,109,1,14017,21941,5358,1,0,Jul,256617
57,Food Stall,Law Gate,96,4,110,76,5,10892,22043,4137,1,0,Nov,184080
58,Stationery,BH-5 Complex,183,4,102,107,1,7906,21254,4760,1,0,Feb,277420
59,Cafe,BH-5 Complex,249,6,120,117,5,13570,39340,9124,0,0,Dec,371200
60,Cafe,UniMall,126,9,149,105,3,16160,29124,11240,1,0,Oct,403705
61,Mobile Shop,Law Gate,107,7,95,60,2,7276,37195,6766,1,0,Aug,109600
62,Clothing,BH-7 Complex,97,6,66,62,3,6918,34181,10506,0,0,Jul,72760
63,Mobile Shop,Law Gate,205,9,87,69,1,7976,32680,9350,0,0,Oct,130090
64,Mobile Shop,Law Gate,190,8,126,100,1,15361,21371,8206,0,0,May,302800
65,Salon,BH-7 Complex,200,1,65,111,5,7761,25167,6362,0,0,Jul,159235
66,Food Stall,BH-1 Complex,110,8,63,89,5,9517,25589,9726,1,0,Feb,118210
67,Mobile Shop,UniMall,173,8,143,87,3,14195,37350,4645,1,1,Nov,323230
68,Mobile Shop,BH-5 Complex,98,4,67,85,1,12316,21469,9529,1,0,Jan,120850
69,Clothing,BH-7 Complex,82,1,149,73,2,7828,16917,8234,0,0,Oct,265433
70,Salon,UniMall,96,9,103,61,3,11287,16619,4320,0,1,Mar,125924
71,Salon,BH-1 Complex,216,2,108,64,4,6235,25161,8429,0,1,Jun,150448
72,Mobile Shop,BH-1 Complex,244,5,119,88,3,15064,37797,9947,0,0,Apr,264160
73,Mobile Shop,BH-1 Complex,204,6,148,104,1,8136,25535,5863,1,0,Sep,396368
74,Stationery,BH-1 Complex,213,3,76,92,3,10033,33381,8916,0,0,Jan,159760
75,Salon,BH-1 Complex,112,4,86,95,2,16789,16120,7068,1,1,Jan,178760
76,Salon,BH-7 Complex,236,4,97,72,4,12371,21359,11091,1,0,Mar,159520
77,Stationery,Law Gate,183,6,95,95,2,16026,17116,9779,1,0,Aug,211725
78,Clothing,BH-5 Complex,179,4,121,77,5,13790,15827,6730,1,1,Oct,210876
79,Mobile Shop,UniMall,90,7,90,117,1,11109,35530,11196,0,1,Apr,244840
80,Stationery,BH-7 Complex,132,9,113,82,2,9072,16854,8021,1,0,Sep,209448
81,Cafe,Law Gate,241,1,94,111,3,7625,25314,11973,0,1,Jun,242152
82,Food Stall,UniMall,108,6,83,84,2,11299,27997,7572,0,1,Jul,159160
83,Mobile Shop,BH-5 Complex,142,8,140,79,1,6688,19243,7701,0,0,Jul,259680
84,Salon,UniMall,109,8,110,118,3,17581,17079,6717,0,1,Feb,339400
85,Stationery,BH-5 Complex,208,8,125,113,5,16353,26485,9797,0,1,Oct,345500
86,Clothing,Law Gate,214,8,133,78,1,12305,34835,8064,0,0,Jul,250846
87,Stationery,UniMall,171,8,118,67,2,9310,18300,10722,1,1,Aug,179274
88,Cafe,Law Gate,86,1,105,102,5,12612,36389,10878,0,0,Apr,249880
89,Salon,BH-5 Complex,90,2,88,119,3,14705,25112,10958,0,0,May,253688
90,Cafe,BH-5 Complex,103,1,96,97,2,13083,37370,9619,0,1,Jul,220048
91,Cafe,BH-7 Complex,104,7,140,109,1,17472,17573,8616,0,1,Apr,407800
92,Mobile Shop,Law Gate,207,5,85,117,2,17372,23996,4074,0,0,Jan,228460
93,Salon,BH-1 Complex,136,6,96,84,3,7622,30988,4341,0,1,Sep,183856
94,Salon,BH-5 Complex,201,2,112,66,4,15900,26664,6969,1,0,May,164368
95,Stationery,BH-5 Complex,192,7,95,110,3,10124,39724,7850,1,0,Aug,253050
96,Clothing,BH-1 Complex,160,2,81,64,1,15977,22715,4750,1,0,Sep,95152
97,Cafe,UniMall,118,3,99,76,3,7240,15060,4938,0,0,Mar,160672
98,Food Stall,BH-7 Complex,96,9,71,78,1,17307,31314,8090,0,0,Aug,105064
99,Salon,UniMall,168,9,142,67,5,8708,26344,5750,0,0,Jul,235420
100,Mobile Shop,BH-7 Complex,86,9,76,82,3,13124,34541,8345,1,1,Jul,130728
101,Stationery,Law Gate,182,1,141,90,3,8419,34426,8497,0,0,Mar,318010
102,Food Stall,BH-5 Complex,172,6,96,102,1,10278,38510,8459,1,0,Oct,233968
103,Stationery,BH-7 Complex,220,2,125,114,3,9241,15545,6461,0,0,Jan,377500
104,Food Stall,Law Gate,237,9,121,112,4,6271,34895,5771,1,0,Mar,329456
105,Mobile Shop,BH-7 Complex,232,1,104,73,5,8033,37851,4145,1,0,Jan,170168
106,Salon,BH-1 Complex,203,6,147,63,3,16233,16828,6108,1,1,Jul,227830
107,Mobile Shop,BH-7 Complex,189,2,111,63,1,13827,31220,11742,0,0,Mar,159790
108,Food Stall,UniMall,178,4,65,64,2,14245,22214,4726,0,0,Mar,66480
109,Stationery,BH-7 Complex,199,9,109,77,1,13312,29551,4002,1,1,Nov,193397
110,Cafe,BH-5 Complex,249,9,115,62,1,15179,32602,9016,0,0,Aug,163900
111,Cafe,BH-7 Complex,139,5,138,97,5,9972,20295,9721,1,0,Mar,351580
112,Salon,UniMall,85,8,117,62,3,12183,35314,5996,1,0,Nov,160366
113,Food Stall,BH-7 Complex,249,4,118,107,3,12924,15362,6604,1,0,Nov,303528
114,Cafe,BH-1 Complex,237,7,104,117,2,11150,29870,8521,1,1,Dec,290704
115,Food Stall,UniMall,183,2,98,61,4,17309,24882,5136,0,1,Jun,117384
116,Clothing,BH-5 Complex,158,5,142,89,5,11352,24439,9089,1,0,Apr,329140
117,Food Stall,Law Gate,199,2,127,86,2,15109,23073,4885,1,1,Dec,255816
118,Salon,BH-1 Complex,112,6,95,118,3,11043,17428,6507,0,0,Feb,286300
119,Salon,UniMall,118,7,105,93,5,14707,29288,11266,0,0,Feb,223420
120,Food Stall,BH-5 Complex,171,5,106,73,5,17722,37042,7778,0,0,Sep,174402
121,Mobile Shop,Law Gate,242,1,128,62,1,13424,27857,7963,1,0,Dec,188080
122,Salon,BH-1 Complex,129,4,139,86,3,6984,20776,7676,1,0,Aug,296666
123,Mobile Shop,UniMall,205,4,119,117,4,13725,15526,7224,0,0,Dec,367690
124,Stationery,BH-7 Complex,151,5,122,81,2,12644,31500,6433,0,0,Jun,236578
125,Food Stall,BH-1 Complex,167,9,91,70,1,14920,33427,8197,0,0,Jun,128360
126,Cafe,BH-5 Complex,176,2,145,87,1,14905,24127,10047,0,0,Jan,303220
127,Mobile Shop,Law Gate,201,2,136,111,2,6917,34558,6241,0,1,Aug,387784
128,Food Stall,UniMall,193,8,134,62,2,7925,33440,10917,0,1,Nov,199240
129,Stationery,UniMall,185,2,66,70,4,17577,31405,4409,0,0,Mar,83980
130,Salon,BH-7 Complex,111,3,78,114,4,9427,19780,5927,0,1,Jun,207868
131,Cafe,BH-1 Complex,114,6,96,91,1,15274,31002,6971,1,0,May,194608
132,Clothing,BH-5 Complex,187,4,90,117,4,8071,23595,10948,0,1,Sep,244840
133,Cafe,BH-5 Complex,85,7,95,117,2,11631,27003,6625,1,0,Dec,261220
134,Stationery,Law Gate,87,4,62,104,2,17815,34342,11904,0,1,Jul,136992
135,Mobile Shop,BH-5 Complex,204,8,96,64,1,17244,19648,6365,0,0,Jan,128176
136,Food Stall,BH-5 Complex,243,7,148,116,3,15444,35740,6046,1,0,Oct,447872
137,Clothing,BH-1 Complex,80,9,69,71,4,9432,24472,10276,0,1,May,92071
138,Clothing,BH-5 Complex,227,2,135,96,2,9568,24847,5579,0,0,Oct,312880
139,Salon,BH-1 Complex,148,1,88,60,1,7058,35677,6532,0,1,Apr,108400
140,Salon,UniMall,118,8,112,109,3,6125,27504,11473,0,1,Apr,316240
141,Cafe,BH-7 Complex,208,7,82,104,5,16985,32275,8470,0,1,Jun,197312
142,Cafe,Law Gate,224,8,106,93,1,11238,30577,6474,0,1,Apr,226024
143,Food Stall,Law Gate,142,9,92,60,1,9124,24519,9188,0,1,Sep,115600
144,Mobile Shop,BH-5 Complex,181,3,136,90,2,13114,30740,7173,1,1,Mar,292720
145,Salon,UniMall,155,7,134,60,5,15013,31838,5624,0,0,Jan,183160
146,Stationery,BH-1 Complex,189,2,108,91,1,12059,29437,10105,0,1,Feb,225184
147,Salon,Law Gate,127,5,129,87,4,7177,19760,4011,0,0,Jul,264244
